[INFO] [launch]: All log files can be found below /home/seeed/.ros/log/2026-07-02-12-46-40-468143-seeed-13174
[INFO] [launch]: Default logging verbosity is set to INFO
[pcd_ndt_localizer-1] [WARN] [1782967645.603215480] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.5121 points=2307
[pcd_ndt_localizer-1] [WARN] [1782967646.606704726] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.4104 points=2325
[pcd_ndt_localizer-1] [WARN] [1782967647.607822728] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.2945 points=2331
[pcd_ndt_localizer-1] [WARN] [1782967648.713976823] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.5126 points=2382
[pcd_ndt_localizer-1] [WARN] [1782967649.810913693] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.5098 points=2252
[pcd_ndt_localizer-1] [WARN] [1782967650.812793032] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.2247 points=2364
[pcd_ndt_localizer-1] [WARN] [1782967651.902288445] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.4518 points=2272
[pcd_ndt_localizer-1] [WARN] [1782967652.909110759] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.4944 points=2302
[pcd_ndt_localizer-1] [WARN] [1782967653.998721697] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.4592 points=2322
[pcd_ndt_localizer-1] [WARN] [1782967655.009244834] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.3375 points=2287
[pcd_ndt_localizer-1] [WARN] [1782967656.098337259] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.4228 points=2329
[pcd_ndt_localizer-1] [WARN] [1782967657.107246136] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.5309 points=2295
[pcd_ndt_localizer-1] [WARN] [1782967658.207734993] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.4486 points=2342
[pcd_ndt_localizer-1] [WARN] [1782967659.211694270] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.5019 points=2261
[pcd_ndt_localizer-1] [WARN] [1782967660.313562371] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.6705 points=2385
[pcd_ndt_localizer-1] [WARN] [1782967661.406762641] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.4893 points=2265
[pcd_ndt_localizer-1] [WARN] [1782967662.507551027] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.3804 points=2334
[pcd_ndt_localizer-1] [WARN] [1782967663.510163605] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.4700 points=2329
[pcd_ndt_localizer-1] [WARN] [1782967664.588438209] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.3617 points=2302
[pcd_ndt_localizer-1] [WARN] [1782967665.603558998] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.4338 points=2294
[pcd_ndt_localizer-1] [WARN] [1782967666.604463905] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.7612 points=2285
[pcd_ndt_localizer-1] [WARN] [1782967667.605152389] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.2725 points=2282
[pcd_ndt_localizer-1] [WARN] [1782967668.702654269] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.3372 points=2269
[pcd_ndt_localizer-1] [WARN] [1782967669.704438853] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.5198 points=2309
[pcd_ndt_localizer-1] [WARN] [1782967670.712714430] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.3561 points=2372
[pcd_ndt_localizer-1] [WARN] [1782967671.811649252] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.4938 points=2289
[pcd_ndt_localizer-1] [WARN] [1782967672.913215455] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.3543 points=2355
[pcd_ndt_localizer-1] [WARN] [1782967674.005176421] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.3697 points=2295
[pcd_ndt_localizer-1] [WARN] [1782967675.102903236] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.5259 points=2263
[pcd_ndt_localizer-1] [WARN] [1782967676.105087672] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.3601 points=2347
[pcd_ndt_localizer-1] [WARN] [1782967677.203192676] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.4492 points=2276
