[INFO] [1785381276.784619631] [nav_tf_direct_relay]: publishing map->base_link on /nav_tf, reliability=RELIABLE, rpy offset=(0.007,-0.802,1.571)
[INFO] [1785381400.770627574] [nav_tf_direct_relay]: healthy: published 6130 TF messages on /nav_tf
[INFO] [1785381402.755220647] [nav_tf_direct_relay]: healthy: published 6230 TF messages on /nav_tf
[INFO] [1785381404.755870963] [nav_tf_direct_relay]: healthy: published 6330 TF messages on /nav_tf
[INFO] [1785381406.754841763] [nav_tf_direct_relay]: healthy: published 6429 TF messages on /nav_tf
[INFO] [1785381408.755448718] [nav_tf_direct_relay]: healthy: published 6529 TF messages on /nav_tf
[INFO] [1785381410.755428802] [nav_tf_direct_relay]: healthy: published 6629 TF messages on /nav_tf
[INFO] [1785381412.755178094] [nav_tf_direct_relay]: healthy: published 6729 TF messages on /nav_tf
[INFO] [1785381414.756925410] [nav_tf_direct_relay]: healthy: published 6829 TF messages on /nav_tf
[INFO] [1785381416.759473713] [nav_tf_direct_relay]: healthy: published 6915 TF messages on /nav_tf
[INFO] [1785381418.762075715] [nav_tf_direct_relay]: healthy: published 7013 TF messages on /nav_tf
[INFO] [1785381420.755115456] [nav_tf_direct_relay]: healthy: published 7113 TF messages on /nav_tf
[INFO] [1785381422.755430944] [nav_tf_direct_relay]: healthy: published 7212 TF messages on /nav_tf
[INFO] [1785381424.755058536] [nav_tf_direct_relay]: healthy: published 7312 TF messages on /nav_tf
[INFO] [1785381426.758367699] [nav_tf_direct_relay]: healthy: published 7412 TF messages on /nav_tf
[INFO] [1785381428.754858667] [nav_tf_direct_relay]: healthy: published 7512 TF messages on /nav_tf
[INFO] [1785381430.754961092] [nav_tf_direct_relay]: healthy: published 7612 TF messages on /nav_tf
[INFO] [1785381432.765616692] [nav_tf_direct_relay]: healthy: published 7710 TF messages on /nav_tf
[INFO] [1785381434.755515650] [nav_tf_direct_relay]: healthy: published 7810 TF messages on /nav_tf
[INFO] [1785381436.755740191] [nav_tf_direct_relay]: healthy: published 7910 TF messages on /nav_tf
[INFO] [1785381438.754909974] [nav_tf_direct_relay]: healthy: published 8010 TF messages on /nav_tf
[INFO] [1785381440.757147387] [nav_tf_direct_relay]: healthy: published 8110 TF messages on /nav_tf
[INFO] [1785381442.761781333] [nav_tf_direct_relay]: healthy: published 8207 TF messages on /nav_tf
[INFO] [1785381444.755598542] [nav_tf_direct_relay]: healthy: published 8306 TF messages on /nav_tf
[INFO] [1785381446.754392600] [nav_tf_direct_relay]: healthy: published 8406 TF messages on /nav_tf
[INFO] [1785381448.755546422] [nav_tf_direct_relay]: healthy: published 8506 TF messages on /nav_tf
[INFO] [1785381450.755214207] [nav_tf_direct_relay]: healthy: published 8606 TF messages on /nav_tf
[INFO] [1785381452.757334880] [nav_tf_direct_relay]: healthy: published 8706 TF messages on /nav_tf
[INFO] [1785381454.754675510] [nav_tf_direct_relay]: healthy: published 8805 TF messages on /nav_tf
[INFO] [1785381456.761901964] [nav_tf_direct_relay]: healthy: published 8905 TF messages on /nav_tf
[INFO] [1785381458.761394479] [nav_tf_direct_relay]: healthy: published 9005 TF messages on /nav_tf
[INFO] [1785381460.754979744] [nav_tf_direct_relay]: healthy: published 9105 TF messages on /nav_tf
[INFO] [1785381462.755399108] [nav_tf_direct_relay]: healthy: published 9205 TF messages on /nav_tf
[INFO] [1785381464.755819528] [nav_tf_direct_relay]: healthy: published 9305 TF messages on /nav_tf
[INFO] [1785381466.755710809] [nav_tf_direct_relay]: healthy: published 9405 TF messages on /nav_tf
[INFO] [1785381468.755123961] [nav_tf_direct_relay]: healthy: published 9505 TF messages on /nav_tf
[INFO] [1785381470.756145715] [nav_tf_direct_relay]: healthy: published 9605 TF messages on /nav_tf
[INFO] [1785381472.754810296] [nav_tf_direct_relay]: healthy: published 9705 TF messages on /nav_tf
[INFO] [1785381474.756859286] [nav_tf_direct_relay]: healthy: published 9805 TF messages on /nav_tf
[INFO] [1785381476.755373558] [nav_tf_direct_relay]: healthy: published 9905 TF messages on /nav_tf
[INFO] [1785381478.755071681] [nav_tf_direct_relay]: healthy: published 10004 TF messages on /nav_tf
[INFO] [1785381480.756276897] [nav_tf_direct_relay]: healthy: published 10104 TF messages on /nav_tf
[INFO] [1785381482.756186962] [nav_tf_direct_relay]: healthy: published 10204 TF messages on /nav_tf
[INFO] [1785381484.968145497] [nav_tf_direct_relay]: healthy: published 10300 TF messages on /nav_tf
[INFO] [1785381486.760826465] [nav_tf_direct_relay]: healthy: published 10390 TF messages on /nav_tf
[INFO] [1785381488.757258488] [nav_tf_direct_relay]: healthy: published 10490 TF messages on /nav_tf
[INFO] [1785381490.755644147] [nav_tf_direct_relay]: healthy: published 10588 TF messages on /nav_tf
[INFO] [1785381492.754977392] [nav_tf_direct_relay]: healthy: published 10688 TF messages on /nav_tf
[INFO] [1785381494.754822432] [nav_tf_direct_relay]: healthy: published 10788 TF messages on /nav_tf
[INFO] [1785381496.754976635] [nav_tf_direct_relay]: healthy: published 10888 TF messages on /nav_tf
[INFO] [1785381498.755759563] [nav_tf_direct_relay]: healthy: published 10988 TF messages on /nav_tf
[INFO] [1785381500.755054375] [nav_tf_direct_relay]: healthy: published 11088 TF messages on /nav_tf
[INFO] [1785381502.756623572] [nav_tf_direct_relay]: healthy: published 11188 TF messages on /nav_tf
[INFO] [1785381504.755145941] [nav_tf_direct_relay]: healthy: published 11288 TF messages on /nav_tf
[INFO] [1785381506.756362517] [nav_tf_direct_relay]: healthy: published 11388 TF messages on /nav_tf
[INFO] [1785381508.759523162] [nav_tf_direct_relay]: healthy: published 11488 TF messages on /nav_tf
[INFO] [1785381510.756488932] [nav_tf_direct_relay]: healthy: published 11588 TF messages on /nav_tf
[INFO] [1785381512.755716669] [nav_tf_direct_relay]: healthy: published 11688 TF messages on /nav_tf
[INFO] [1785381514.754710382] [nav_tf_direct_relay]: healthy: published 11788 TF messages on /nav_tf
[INFO] [1785381516.756373855] [nav_tf_direct_relay]: healthy: published 11888 TF messages on /nav_tf
[INFO] [1785381518.755565111] [nav_tf_direct_relay]: healthy: published 11988 TF messages on /nav_tf
[INFO] [1785381520.755235040] [nav_tf_direct_relay]: healthy: published 12088 TF messages on /nav_tf
[INFO] [1785381522.755831018] [nav_tf_direct_relay]: healthy: published 12188 TF messages on /nav_tf
[INFO] [1785381524.754991586] [nav_tf_direct_relay]: healthy: published 12288 TF messages on /nav_tf
[INFO] [1785381526.755837589] [nav_tf_direct_relay]: healthy: published 12388 TF messages on /nav_tf
[INFO] [1785381528.756053777] [nav_tf_direct_relay]: healthy: published 12488 TF messages on /nav_tf
[INFO] [1785381530.756475381] [nav_tf_direct_relay]: healthy: published 12588 TF messages on /nav_tf
[INFO] [1785381532.755433541] [nav_tf_direct_relay]: healthy: published 12688 TF messages on /nav_tf
[INFO] [1785381534.754987275] [nav_tf_direct_relay]: healthy: published 12788 TF messages on /nav_tf
[INFO] [1785381536.757328211] [nav_tf_direct_relay]: healthy: published 12888 TF messages on /nav_tf
[INFO] [1785381538.755576010] [nav_tf_direct_relay]: healthy: published 12988 TF messages on /nav_tf
[INFO] [1785381540.755880041] [nav_tf_direct_relay]: healthy: published 13088 TF messages on /nav_tf
[INFO] [1785381542.755429358] [nav_tf_direct_relay]: healthy: published 13188 TF messages on /nav_tf
[INFO] [1785381544.755794896] [nav_tf_direct_relay]: healthy: published 13288 TF messages on /nav_tf
[INFO] [1785381546.756216212] [nav_tf_direct_relay]: healthy: published 13388 TF messages on /nav_tf
[INFO] [1785381548.755545234] [nav_tf_direct_relay]: healthy: published 13488 TF messages on /nav_tf
[INFO] [1785381550.755517606] [nav_tf_direct_relay]: healthy: published 13588 TF messages on /nav_tf
[INFO] [1785381552.755925545] [nav_tf_direct_relay]: healthy: published 13688 TF messages on /nav_tf
[INFO] [1785381554.755227373] [nav_tf_direct_relay]: healthy: published 13788 TF messages on /nav_tf
[INFO] [1785381556.755486779] [nav_tf_direct_relay]: healthy: published 13888 TF messages on /nav_tf
[INFO] [1785381558.755884077] [nav_tf_direct_relay]: healthy: published 13988 TF messages on /nav_tf
[INFO] [1785381560.755384929] [nav_tf_direct_relay]: healthy: published 14088 TF messages on /nav_tf
[INFO] [1785381562.755452040] [nav_tf_direct_relay]: healthy: published 14188 TF messages on /nav_tf
[INFO] [1785381564.756555156] [nav_tf_direct_relay]: healthy: published 14288 TF messages on /nav_tf
[INFO] [1785381566.756221645] [nav_tf_direct_relay]: healthy: published 14388 TF messages on /nav_tf
[INFO] [1785381568.755859941] [nav_tf_direct_relay]: healthy: published 14488 TF messages on /nav_tf
[INFO] [1785381570.755515710] [nav_tf_direct_relay]: healthy: published 14588 TF messages on /nav_tf
[INFO] [1785381572.755531268] [nav_tf_direct_relay]: healthy: published 14688 TF messages on /nav_tf
[INFO] [1785381574.755575850] [nav_tf_direct_relay]: healthy: published 14788 TF messages on /nav_tf
[INFO] [1785381576.754905336] [nav_tf_direct_relay]: healthy: published 14888 TF messages on /nav_tf
[INFO] [1785381578.755505842] [nav_tf_direct_relay]: healthy: published 14988 TF messages on /nav_tf
[INFO] [1785381580.755658172] [nav_tf_direct_relay]: healthy: published 15088 TF messages on /nav_tf
[INFO] [1785381582.754996970] [nav_tf_direct_relay]: healthy: published 15188 TF messages on /nav_tf
[INFO] [1785381584.756165432] [nav_tf_direct_relay]: healthy: published 15288 TF messages on /nav_tf
[INFO] [1785381586.755404386] [nav_tf_direct_relay]: healthy: published 15388 TF messages on /nav_tf
[INFO] [1785381588.755541420] [nav_tf_direct_relay]: healthy: published 15488 TF messages on /nav_tf
